"graph","type","node","measure","value"
"graph 1",NA,"bodydiss","Betweenness",-0.153321435835199
"graph 1",NA,"selfcrit","Betweenness",0.255535726391999
"graph 1",NA,"overval","Betweenness",0.255535726391999
"graph 1",NA,"fowg","Betweenness",-0.971035760289596
"graph 1",NA,"drivethin","Betweenness",-0.971035760289596
"graph 1",NA,"saa","Betweenness",1.89096437530079
"graph 1",NA,"alwaysworry","Betweenness",-0.971035760289596
"graph 1",NA,"reject","Betweenness",0.664392888619197
"graph 1",NA,"bodydiss","Closeness",-0.117925332089047
"graph 1",NA,"selfcrit","Closeness",0.635008214363644
"graph 1",NA,"overval","Closeness",0.538159452204461
"graph 1",NA,"fowg","Closeness",-0.469139866564288
"graph 1",NA,"drivethin","Closeness",-1.59008889403886
"graph 1",NA,"saa","Closeness",1.33657887273116
"graph 1",NA,"alwaysworry","Closeness",-1.08906806173337
"graph 1",NA,"reject","Closeness",0.756475615126298
"graph 1",NA,"bodydiss","Strength",-0.345539697762133
"graph 1",NA,"selfcrit","Strength",0.830760472237307
"graph 1",NA,"overval","Strength",0.29909015398888
"graph 1",NA,"fowg","Strength",-0.384242653747467
"graph 1",NA,"drivethin","Strength",-1.40838094536795
"graph 1",NA,"saa","Strength",1.61609782493955
"graph 1",NA,"alwaysworry","Strength",-1.06983368255955
"graph 1",NA,"reject","Strength",0.462048528271354
"graph 1",NA,"bodydiss","ExpectedInfluence",0.418148154325031
"graph 1",NA,"selfcrit","ExpectedInfluence",0.127725308694318
"graph 1",NA,"overval","ExpectedInfluence",1.35003878249269
"graph 1",NA,"fowg","ExpectedInfluence",-1.3175650361439
"graph 1",NA,"drivethin","ExpectedInfluence",-1.11831776512239
"graph 1",NA,"saa","ExpectedInfluence",1.26302569378398
"graph 1",NA,"alwaysworry","ExpectedInfluence",-0.628906639426006
"graph 1",NA,"reject","ExpectedInfluence",-0.0941484986037191
