"between.v1","between.v2","between.P.1..2","between.P.1..2.1","between.pcor","between.cor"
"selfcrit","bodydiss",0.048,0.033,0.215,0.804
"overval","bodydiss",0.163,0.945,0.075,0.875
"overval","selfcrit",0.002,0.007,0.308,0.9
"fowg","bodydiss",0.715,0.21,-0.087,0.83
"fowg","selfcrit",0.009,0.043,0.238,0.897
"fowg","overval",0.002,0,0.374,0.94
"drivethin","bodydiss",0.051,0.016,0.231,0.865
"drivethin","selfcrit",0.592,0.864,0.018,0.874
"drivethin","overval",0.151,0.035,0.195,0.937
"drivethin","fowg",0,0,0.546,0.946
"saa","bodydiss",0,0,0.426,0.872
"saa","selfcrit",0.006,0.004,-0.289,0.764
"saa","overval",0.023,0.01,0.265,0.885
"saa","fowg",0.25,0.77,0.077,0.809
"saa","drivethin",0.607,0.802,-0.014,0.839
"alwaysworry","bodydiss",0.056,0.444,-0.148,0.534
"alwaysworry","selfcrit",0.002,0.002,0.316,0.702
"alwaysworry","overval",0.835,0.415,-0.057,0.647
"alwaysworry","fowg",0.157,0.134,0.157,0.649
"alwaysworry","drivethin",0.416,0.316,-0.099,0.61
"alwaysworry","saa",0.975,0.689,-0.02,0.599
"reject","bodydiss",0.112,0.208,-0.153,0.781
"reject","selfcrit",0.072,0.123,0.172,0.745
"reject","overval",0.669,0.34,0.077,0.826
"reject","fowg",0.002,0.095,-0.244,0.736
"reject","drivethin",0.292,0.597,0.084,0.773
"reject","saa",0,0,0.715,0.922
"reject","alwaysworry",0.016,0.017,0.252,0.647
