"contemporaneous.v1","contemporaneous.v2","contemporaneous.P.1..2","contemporaneous.P.1..2.1","contemporaneous.pcor","contemporaneous.ran_SD_pcor","contemporaneous.cor","contemporaneous.ran_SD_cor"
"selfcrit","bodydiss",0,0,0.085,0.051,0.141,0.105
"overval","bodydiss",0.323,0.02,0.042,0.087,0.125,0.144
"overval","selfcrit",0,0,0.135,0.09,0.203,0.134
"fowg","bodydiss",0.009,0.314,0.051,0.111,0.127,0.149
"fowg","selfcrit",0.022,0.029,0.042,0.045,0.118,0.07
"fowg","overval",0,0,0.117,0.102,0.209,0.135
"drivethin","bodydiss",0.014,0.004,0.097,0.166,0.158,0.187
"drivethin","selfcrit",0.088,0.313,0.035,0.09,0.116,0.135
"drivethin","overval",0,0,0.124,0.088,0.219,0.15
"drivethin","fowg",0,0,0.298,0.146,0.346,0.176
"saa","bodydiss",0,0,0.094,0.064,0.15,0.105
"saa","selfcrit",0,0,0.105,0.057,0.172,0.099
"saa","overval",0,0.006,0.081,0.088,0.167,0.131
"saa","fowg",0.114,0.112,0.045,0.116,0.112,0.123
"saa","drivethin",0.838,0.546,0.01,0.08,0.096,0.089
"alwaysworry","bodydiss",0.004,0.007,0.057,0.058,0.11,0.084
"alwaysworry","selfcrit",0.007,0.008,0.08,0.138,0.14,0.163
"alwaysworry","overval",0.001,0.023,0.07,0.091,0.141,0.11
"alwaysworry","fowg",0.39,0.362,0.019,0.055,0.08,0.075
"alwaysworry","drivethin",0.499,0.396,0.019,0.087,0.082,0.09
"alwaysworry","saa",0,0,0.146,0.142,0.197,0.17
"reject","bodydiss",0.188,0.098,0.033,0.06,0.091,0.106
"reject","selfcrit",0.038,0.173,0.038,0.067,0.108,0.125
"reject","overval",0,0,0.134,0.112,0.195,0.149
"reject","fowg",0.335,0.704,0.018,0.106,0.096,0.147
"reject","drivethin",0.024,0.012,0.063,0.101,0.128,0.15
"reject","saa",0,0,0.102,0.09,0.159,0.143
"reject","alwaysworry",0.006,0.022,0.059,0.091,0.115,0.149
