"temporal.from","temporal.to","temporal.lag","temporal.fixed","temporal.SE","temporal.P","temporal.ran_SD"
"bodydiss","bodydiss",1,0.394,0.035,0,0.23
"bodydiss","selfcrit",1,0.081,0.021,0,0.072
"bodydiss","overval",1,0.048,0.021,0.025,0.106
"bodydiss","fowg",1,0.064,0.02,0.001,0.102
"bodydiss","drivethin",1,0.041,0.023,0.067,0.125
"bodydiss","saa",1,0.014,0.017,0.428,0.066
"bodydiss","alwaysworry",1,-0.034,0.026,0.189,0.153
"bodydiss","reject",1,0.002,0.019,0.918,0.081
"selfcrit","bodydiss",1,0.018,0.018,0.33,0.098
"selfcrit","selfcrit",1,0.31,0.036,0,0.238
"selfcrit","overval",1,0.047,0.017,0.007,0.088
"selfcrit","fowg",1,0.007,0.013,0.57,0.062
"selfcrit","drivethin",1,0.002,0.015,0.92,0.067
"selfcrit","saa",1,0.037,0.015,0.018,0.074
"selfcrit","alwaysworry",1,0.029,0.019,0.127,0.112
"selfcrit","reject",1,0.036,0.017,0.035,0.079
"overval","bodydiss",1,-0.005,0.024,0.838,0.126
"overval","selfcrit",1,0.061,0.029,0.034,0.134
"overval","overval",1,0.358,0.036,0,0.236
"overval","fowg",1,0.049,0.022,0.027,0.122
"overval","drivethin",1,0.081,0.029,0.005,0.173
"overval","saa",1,0.028,0.023,0.226,0.117
"overval","alwaysworry",1,0.008,0.022,0.711,0.121
"overval","reject",1,0.021,0.024,0.385,0.116
"fowg","bodydiss",1,0.032,0.024,0.188,0.115
"fowg","selfcrit",1,0.01,0.031,0.755,0.148
"fowg","overval",1,0.05,0.024,0.038,0.119
"fowg","fowg",1,0.384,0.038,0,0.263
"fowg","drivethin",1,0.079,0.031,0.01,0.182
"fowg","saa",1,0.027,0.021,0.204,0.085
"fowg","alwaysworry",1,0.001,0.023,0.959,0.114
"fowg","reject",1,0.003,0.022,0.906,0.095
"drivethin","bodydiss",1,0.009,0.022,0.695,0.097
"drivethin","selfcrit",1,0.021,0.031,0.505,0.15
"drivethin","overval",1,0.027,0.023,0.248,0.111
"drivethin","fowg",1,0.025,0.021,0.234,0.109
"drivethin","drivethin",1,0.26,0.041,0,0.277
"drivethin","saa",1,0.044,0.024,0.069,0.119
"drivethin","alwaysworry",1,0.008,0.022,0.716,0.118
"drivethin","reject",1,0.028,0.033,0.386,0.192
"saa","bodydiss",1,0.061,0.027,0.028,0.161
"saa","selfcrit",1,0.021,0.026,0.433,0.129
"saa","overval",1,0.036,0.021,0.091,0.108
"saa","fowg",1,-0.02,0.014,0.151,0.042
"saa","drivethin",1,0.013,0.021,0.536,0.108
"saa","saa",1,0.317,0.043,0,0.315
"saa","alwaysworry",1,0.002,0.022,0.937,0.116
"saa","reject",1,0.053,0.024,0.026,0.123
"alwaysworry","bodydiss",1,-0.031,0.024,0.203,0.131
"alwaysworry","selfcrit",1,0.059,0.033,0.071,0.184
"alwaysworry","overval",1,0.017,0.022,0.427,0.109
"alwaysworry","fowg",1,0.018,0.021,0.377,0.111
"alwaysworry","drivethin",1,-0.017,0.018,0.359,0.08
"alwaysworry","saa",1,0.015,0.021,0.484,0.101
"alwaysworry","alwaysworry",1,0.406,0.039,0,0.276
"alwaysworry","reject",1,0.08,0.026,0.002,0.141
"reject","bodydiss",1,0.029,0.021,0.182,0.103
"reject","selfcrit",1,0.034,0.024,0.162,0.116
"reject","overval",1,0.03,0.019,0.111,0.09
"reject","fowg",1,0.008,0.013,0.529,0.035
"reject","drivethin",1,0.044,0.02,0.03,0.103
"reject","saa",1,0.076,0.02,0,0.097
"reject","alwaysworry",1,0.044,0.015,0.004,0.062
"reject","reject",1,0.407,0.029,0,0.18
