"graph","type","node","measure","value"
"graph 1",NA,"bodydiss","Betweenness",0.501382453642772
"graph 1",NA,"selfcrit","Betweenness",0.883388132608694
"graph 1",NA,"overval","Betweenness",0.119376774676851
"graph 1",NA,"fowg","Betweenness",-1.02664026222091
"graph 1",NA,"drivethin","Betweenness",-1.21764310170388
"graph 1",NA,"saa","Betweenness",0.883388132608694
"graph 1",NA,"alwaysworry","Betweenness",-1.21764310170388
"graph 1",NA,"reject","Betweenness",1.07439097209166
"graph 1",NA,"bodydiss","Closeness",0.722899979900107
"graph 1",NA,"selfcrit","Closeness",0.405911211391576
"graph 1",NA,"overval","Closeness",0.214988809082702
"graph 1",NA,"fowg","Closeness",-0.46271453861007
"graph 1",NA,"drivethin","Closeness",-2.25489217906614
"graph 1",NA,"saa","Closeness",0.753546205275076
"graph 1",NA,"alwaysworry","Closeness",-0.0120456285335303
"graph 1",NA,"reject","Closeness",0.63230614056028
"graph 1",NA,"bodydiss","InStrength",-1.18560937119278
"graph 1",NA,"selfcrit","InStrength",0.332382823014473
"graph 1",NA,"overval","InStrength",0.399721633353743
"graph 1",NA,"fowg","InStrength",-0.198332820915567
"graph 1",NA,"drivethin","InStrength",1.50549915963143
"graph 1",NA,"saa","InStrength",-0.203516743009884
"graph 1",NA,"alwaysworry","InStrength",-1.50096518175448
"graph 1",NA,"reject","InStrength",0.850820500873069
"graph 1",NA,"bodydiss","OutStrength",1.09186780709023
"graph 1",NA,"selfcrit","OutStrength",-0.0548188817461693
"graph 1",NA,"overval","OutStrength",1.04474450580846
"graph 1",NA,"fowg","OutStrength",0.0848093839479816
"graph 1",NA,"drivethin","OutStrength",-1.94858629322005
"graph 1",NA,"saa","OutStrength",-0.160238349138744
"graph 1",NA,"alwaysworry","OutStrength",-0.692892790705032
"graph 1",NA,"reject","OutStrength",0.635114617963334
"graph 1",NA,"bodydiss","OutExpectedInfluence",1.09186780709023
"graph 1",NA,"selfcrit","OutExpectedInfluence",-0.0548188817461693
"graph 1",NA,"overval","OutExpectedInfluence",1.04474450580846
"graph 1",NA,"fowg","OutExpectedInfluence",0.0848093839479816
"graph 1",NA,"drivethin","OutExpectedInfluence",-1.94858629322005
"graph 1",NA,"saa","OutExpectedInfluence",-0.160238349138744
"graph 1",NA,"alwaysworry","OutExpectedInfluence",-0.692892790705032
"graph 1",NA,"reject","OutExpectedInfluence",0.635114617963334
"graph 1",NA,"bodydiss","InExpectedInfluence",-1.18560937119278
"graph 1",NA,"selfcrit","InExpectedInfluence",0.332382823014473
"graph 1",NA,"overval","InExpectedInfluence",0.399721633353743
"graph 1",NA,"fowg","InExpectedInfluence",-0.198332820915567
"graph 1",NA,"drivethin","InExpectedInfluence",1.50549915963143
"graph 1",NA,"saa","InExpectedInfluence",-0.203516743009884
"graph 1",NA,"alwaysworry","InExpectedInfluence",-1.50096518175448
"graph 1",NA,"reject","InExpectedInfluence",0.850820500873069
