"graph","type","node","measure","value"
"graph 1",NA,"shame","Betweenness",-0.832836176734967
"graph 1",NA,"guilty","Betweenness",-0.652763489873353
"graph 1",NA,"overvalwtsh","Betweenness",-0.832836176734967
"graph 1",NA,"worryoverwhelm","Betweenness",1.86825412618925
"graph 1",NA,"fearloc","Betweenness",0.967890691881178
"graph 1",NA,"mistakes","Betweenness",-0.832836176734967
"graph 1",NA,"emo_overwhelm","Betweenness",0.24759994443472
"graph 1",NA,"ineffective","Betweenness",0.0675272575731055
"graph 1",NA,"shame","Closeness",-0.738714871679546
"graph 1",NA,"guilty","Closeness",-0.402964628974915
"graph 1",NA,"overvalwtsh","Closeness",-1.49195147743126
"graph 1",NA,"worryoverwhelm","Closeness",1.77478481702435
"graph 1",NA,"fearloc","Closeness",0.860740087816035
"graph 1",NA,"mistakes","Closeness",-0.0628601250732581
"graph 1",NA,"emo_overwhelm","Closeness",-0.260597779325207
"graph 1",NA,"ineffective","Closeness",0.321563977643797
"graph 1",NA,"shame","Strength",-1.27030146771731
"graph 1",NA,"guilty","Strength",0.317123780843847
"graph 1",NA,"overvalwtsh","Strength",-1.22730814869418
"graph 1",NA,"worryoverwhelm","Strength",1.83892883141363
"graph 1",NA,"fearloc","Strength",0.109145346057948
"graph 1",NA,"mistakes","Strength",-0.225494113655023
"graph 1",NA,"emo_overwhelm","Strength",-0.110327971322782
"graph 1",NA,"ineffective","Strength",0.568233743073876
"graph 1",NA,"shame","ExpectedInfluence",-0.857384693958772
"graph 1",NA,"guilty","ExpectedInfluence",0.954051018607247
"graph 1",NA,"overvalwtsh","ExpectedInfluence",-0.808324346990733
"graph 1",NA,"worryoverwhelm","ExpectedInfluence",0.321901997129451
"graph 1",NA,"fearloc","ExpectedInfluence",-1.65198092001597
"graph 1",NA,"mistakes","ExpectedInfluence",0.334861275176146
"graph 1",NA,"emo_overwhelm","ExpectedInfluence",0.466279156609097
"graph 1",NA,"ineffective","ExpectedInfluence",1.24059651344354
