"contemporaneous.v1","contemporaneous.v2","contemporaneous.P.1..2","contemporaneous.P.1..2.1","contemporaneous.pcor","contemporaneous.ran_SD_pcor","contemporaneous.cor","contemporaneous.ran_SD_cor"
"guilty","shame",0,0,0.476,0.166,0.538,0.155
"overvalwtsh","shame",0.078,0.113,0.043,0.022,0.121,0.061
"overvalwtsh","guilty",0.58,0.504,0.015,0.02,0.116,0.067
"worryoverwhelm","shame",0.061,0.069,0.046,0.013,0.169,0.061
"worryoverwhelm","guilty",0.067,0.02,0.053,0.022,0.187,0.078
"worryoverwhelm","overvalwtsh",0.015,0.028,0.073,0.057,0.124,0.069
"fearloc","shame",0.12,0.11,0.044,0.044,0.161,0.057
"fearloc","guilty",0,0,0.11,0.047,0.201,0.065
"fearloc","overvalwtsh",0,0,0.113,0.044,0.15,0.075
"fearloc","worryoverwhelm",0.306,0.31,0.029,0.045,0.102,0.078
"mistakes","shame",0.032,0.024,0.059,0.034,0.189,0.068
"mistakes","guilty",0.001,0.026,0.08,0.055,0.212,0.081
"mistakes","overvalwtsh",0.043,0.049,0.067,0.082,0.126,0.119
"mistakes","worryoverwhelm",0.001,0.001,0.119,0.097,0.209,0.11
"mistakes","fearloc",0.065,0.219,0.048,0.063,0.118,0.085
"emo_overwhelm","shame",0.678,0.284,0.018,0.016,0.117,0.057
"emo_overwhelm","guilty",0.379,0.087,0.039,0.064,0.137,0.089
"emo_overwhelm","overvalwtsh",0.723,0.587,-0.014,0.067,0.048,0.085
"emo_overwhelm","worryoverwhelm",0,0,0.33,0.189,0.365,0.171
"emo_overwhelm","fearloc",0.781,0.416,0.017,0.05,0.07,0.075
"emo_overwhelm","mistakes",0.071,0.053,0.059,0.07,0.145,0.077
"ineffective","shame",0.001,0.002,0.076,0.01,0.232,0.049
"ineffective","guilty",0,0,0.151,0.074,0.278,0.081
"ineffective","overvalwtsh",0.055,0.114,0.074,0.143,0.134,0.164
"ineffective","worryoverwhelm",0.066,0.022,0.073,0.085,0.167,0.104
"ineffective","fearloc",0.08,0.384,0.042,0.067,0.123,0.08
"ineffective","mistakes",0,0,0.123,0.067,0.207,0.109
"ineffective","emo_overwhelm",0.427,0.634,0.016,0.018,0.102,0.058
