"temporal.from","temporal.to","temporal.lag","temporal.fixed","temporal.SE","temporal.P","temporal.ran_SD"
"shame","shame",1,0.222,0.046,0,0.181
"shame","guilty",1,0.101,0.035,0.004,0.055
"shame","overvalwtsh",1,0.054,0.035,0.121,0.091
"shame","worryoverwhelm",1,0.093,0.039,0.018,0.096
"shame","fearloc",1,-0.013,0.038,0.733,0.073
"shame","mistakes",1,0.058,0.034,0.089,0.12
"shame","emo_overwhelm",1,0.094,0.042,0.027,0.113
"shame","ineffective",1,0.035,0.036,0.326,0.084
"guilty","shame",1,0.083,0.032,0.009,0.086
"guilty","guilty",1,0.22,0.038,0,0.127
"guilty","overvalwtsh",1,0.01,0.034,0.776,0.107
"guilty","worryoverwhelm",1,0.012,0.038,0.746,0.123
"guilty","fearloc",1,-0.004,0.044,0.919,0.161
"guilty","mistakes",1,0.011,0.031,0.715,0.112
"guilty","emo_overwhelm",1,0.029,0.041,0.486,0.135
"guilty","ineffective",1,0.084,0.041,0.039,0.166
"overvalwtsh","shame",1,-0.006,0.031,0.837,0.102
"overvalwtsh","guilty",1,-0.008,0.032,0.803,0.098
"overvalwtsh","overvalwtsh",1,0.283,0.043,0,0.201
"overvalwtsh","worryoverwhelm",1,-0.002,0.031,0.937,0.074
"overvalwtsh","fearloc",1,0.015,0.032,0.638,0.073
"overvalwtsh","mistakes",1,0.014,0.024,0.568,0.061
"overvalwtsh","emo_overwhelm",1,-0.074,0.031,0.017,0.038
"overvalwtsh","ineffective",1,-0.006,0.03,0.846,0.088
"worryoverwhelm","shame",1,0.038,0.03,0.197,0.103
"worryoverwhelm","guilty",1,0.045,0.032,0.155,0.111
"worryoverwhelm","overvalwtsh",1,0.021,0.025,0.414,0.061
"worryoverwhelm","worryoverwhelm",1,0.245,0.04,0,0.163
"worryoverwhelm","fearloc",1,-0.005,0.031,0.871,0.08
"worryoverwhelm","mistakes",1,0.067,0.029,0.019,0.111
"worryoverwhelm","emo_overwhelm",1,0.138,0.033,0,0.088
"worryoverwhelm","ineffective",1,0.024,0.029,0.416,0.089
"fearloc","shame",1,0.046,0.032,0.15,0.126
"fearloc","guilty",1,0.045,0.035,0.199,0.149
"fearloc","overvalwtsh",1,0.046,0.023,0.047,0.057
"fearloc","worryoverwhelm",1,-0.012,0.027,0.672,0.07
"fearloc","fearloc",1,0.26,0.033,0,0.114
"fearloc","mistakes",1,0.01,0.019,0.595,0.035
"fearloc","emo_overwhelm",1,-0.008,0.03,0.792,0.084
"fearloc","ineffective",1,0.015,0.027,0.584,0.074
"mistakes","shame",1,0.089,0.036,0.013,0.129
"mistakes","guilty",1,0.082,0.037,0.025,0.123
"mistakes","overvalwtsh",1,0.016,0.034,0.634,0.112
"mistakes","worryoverwhelm",1,0.045,0.037,0.223,0.112
"mistakes","fearloc",1,0.082,0.034,0.016,0.068
"mistakes","mistakes",1,0.223,0.039,0,0.176
"mistakes","emo_overwhelm",1,0.081,0.044,0.065,0.163
"mistakes","ineffective",1,0.071,0.043,0.104,0.185
"emo_overwhelm","shame",1,0.001,0.027,0.959,0.089
"emo_overwhelm","guilty",1,0.035,0.027,0.205,0.079
"emo_overwhelm","overvalwtsh",1,-0.009,0.024,0.697,0.061
"emo_overwhelm","worryoverwhelm",1,0.058,0.028,0.038,0.069
"emo_overwhelm","fearloc",1,0.049,0.032,0.126,0.111
"emo_overwhelm","mistakes",1,0.004,0.031,0.896,0.141
"emo_overwhelm","emo_overwhelm",1,0.201,0.033,0,0.107
"emo_overwhelm","ineffective",1,0.038,0.031,0.229,0.126
"ineffective","shame",1,0.073,0.036,0.041,0.143
"ineffective","guilty",1,0.098,0.036,0.006,0.134
"ineffective","overvalwtsh",1,0.016,0.034,0.635,0.13
"ineffective","worryoverwhelm",1,0.062,0.03,0.041,0.074
"ineffective","fearloc",1,0.036,0.032,0.254,0.075
"ineffective","mistakes",1,0.045,0.036,0.211,0.165
"ineffective","emo_overwhelm",1,0.03,0.031,0.333,0.061
"ineffective","ineffective",1,0.318,0.051,0,0.25
