"graph","type","node","measure","value"
"graph 1",NA,"shame","Betweenness",-0.199709090755109
"graph 1",NA,"guilty","Betweenness",-0.542067532049583
"graph 1",NA,"overvalwtsh","Betweenness",-0.542067532049583
"graph 1",NA,"worryoverwhelm","Betweenness",1.51208311571726
"graph 1",NA,"fearloc","Betweenness",-0.542067532049583
"graph 1",NA,"mistakes","Betweenness",1.51208311571726
"graph 1",NA,"emo_overwhelm","Betweenness",0.0285298701078728
"graph 1",NA,"ineffective","Betweenness",-1.22678441463853
"graph 1",NA,"shame","Closeness",0.784112293904711
"graph 1",NA,"guilty","Closeness",-0.0413337436284102
"graph 1",NA,"overvalwtsh","Closeness",-0.898169440790409
"graph 1",NA,"worryoverwhelm","Closeness",0.0817509421947919
"graph 1",NA,"fearloc","Closeness",-1.31461360589741
"graph 1",NA,"mistakes","Closeness",1.79743147577538
"graph 1",NA,"emo_overwhelm","Closeness",-0.718099302740169
"graph 1",NA,"ineffective","Closeness",0.308921381181514
"graph 1",NA,"shame","InStrength",1.06694584705083
"graph 1",NA,"guilty","InStrength",1.47693938496639
"graph 1",NA,"overvalwtsh","InStrength",-1.13083006005453
"graph 1",NA,"worryoverwhelm","InStrength",0.713840780414748
"graph 1",NA,"fearloc","InStrength",-0.737259872445638
"graph 1",NA,"mistakes","InStrength",-0.89640019884223
"graph 1",NA,"emo_overwhelm","InStrength",0.213384817539318
"graph 1",NA,"ineffective","InStrength",-0.706620698628894
"graph 1",NA,"shame","OutStrength",1.4025425729623
"graph 1",NA,"guilty","OutStrength",0.189868256218985
"graph 1",NA,"overvalwtsh","OutStrength",-0.752118318692376
"graph 1",NA,"worryoverwhelm","OutStrength",-0.817021325115573
"graph 1",NA,"fearloc","OutStrength",-1.03069173270998
"graph 1",NA,"mistakes","OutStrength",1.06162570499224
"graph 1",NA,"emo_overwhelm","OutStrength",-0.913887468292876
"graph 1",NA,"ineffective","OutStrength",0.859682310637285
"graph 1",NA,"shame","OutExpectedInfluence",1.25689645149366
"graph 1",NA,"guilty","OutExpectedInfluence",0.297580968656746
"graph 1",NA,"overvalwtsh","OutExpectedInfluence",-1.62664896953121
"graph 1",NA,"worryoverwhelm","OutExpectedInfluence",-0.498943499244448
"graph 1",NA,"fearloc","OutExpectedInfluence",-0.66797266676229
"graph 1",NA,"mistakes","OutExpectedInfluence",0.98720587976435
"graph 1",NA,"emo_overwhelm","OutExpectedInfluence",-0.575571815379846
"graph 1",NA,"ineffective","OutExpectedInfluence",0.827453651003039
"graph 1",NA,"shame","InExpectedInfluence",1.14422128252702
"graph 1",NA,"guilty","InExpectedInfluence",1.51321704575309
"graph 1",NA,"overvalwtsh","InExpectedInfluence",-0.833785498665758
"graph 1",NA,"worryoverwhelm","InExpectedInfluence",0.826425362560093
"graph 1",NA,"fearloc","InExpectedInfluence",-0.479570813970712
"graph 1",NA,"mistakes","InExpectedInfluence",-0.62279772066125
"graph 1",NA,"emo_overwhelm","InExpectedInfluence",-1.09571421801451
"graph 1",NA,"ineffective","InExpectedInfluence",-0.451995439527971
