"names","rank","n","total_n","perc"
"avoid_emo",1,20,246,8.13
"avoid_emo",2,13,246,5.28
"avoid_emo",3,31,246,12.6
"avoid_emo",4,30,246,12.2
"avoid_emo",5,36,246,14.63
"avoid_emo",6,46,246,18.7
"avoid_emo",7,40,246,16.26
"avoid_emo",8,30,246,12.2
"avoid_food",1,2,239,0.84
"avoid_food",2,8,239,3.35
"avoid_food",3,9,239,3.77
"avoid_food",4,25,239,10.46
"avoid_food",5,22,239,9.21
"avoid_food",6,26,239,10.88
"avoid_food",6.5,1,239,0.42
"avoid_food",7,56,239,23.43
"avoid_food",8,90,239,37.66
"binge",1,1,256,0.39
"binge",3,2,256,0.78
"binge",4,4,256,1.56
"binge",5,11,256,4.3
"binge",6,15,256,5.86
"binge",7,60,256,23.44
"binge",8,163,256,63.67
"bodycheck",1,34,220,15.45
"bodycheck",2,20,220,9.09
"bodycheck",3,32,220,14.55
"bodycheck",4,31,220,14.09
"bodycheck",5,32,220,14.55
"bodycheck",6,28,220,12.73
"bodycheck",7,28,220,12.73
"bodycheck",8,15,220,6.82
"bodydiss",1,67,242,27.69
"bodydiss",2,70,242,28.93
"bodydiss",3,41,242,16.94
"bodydiss",4,34,242,14.05
"bodydiss",5,13,242,5.37
"bodydiss",6,12,242,4.96
"bodydiss",7,3,242,1.24
"bodydiss",8,2,242,0.83
"desirethin",1,43,269,15.99
"desirethin",2,43,269,15.99
"desirethin",3,52,269,19.33
"desirethin",4,49,269,18.22
"desirethin",5,33,269,12.27
"desirethin",6,34,269,12.64
"desirethin",7,14,269,5.2
"desirethin",8,1,269,0.37
"eat_anx",1,54,234,23.08
"eat_anx",2,62,234,26.5
"eat_anx",3,37,234,15.81
"eat_anx",4,25,234,10.68
"eat_anx",5,20,234,8.55
"eat_anx",6,11,234,4.7
"eat_anx",7,12,234,5.13
"eat_anx",8,13,234,5.56
"eat_public",1,1,249,0.4
"eat_public",2,1,249,0.4
"eat_public",3,8,249,3.21
"eat_public",4,14,249,5.62
"eat_public",5,27,249,10.84
"eat_public",6,51,249,20.48
"eat_public",7,59,249,23.69
"eat_public",8,88,249,35.34
"emo_overwhelm",1,22,241,9.13
"emo_overwhelm",2,45,241,18.67
"emo_overwhelm",3,38,241,15.77
