"between.v1","between.v2","between.P.1..2","between.P.1..2.1","between.pcor","between.cor"
"feelfat","bodydiss",0,0,0.567,0.999
"fowg","bodydiss",0.059,0.011,0.321,0.998
"fowg","feelfat",0,0,0.523,0.999
"urge_restrict","bodydiss",0.102,0.122,-0.213,0.899
"urge_restrict","feelfat",0.393,0.101,0.151,0.9
"urge_restrict","fowg",0.905,0.163,0.088,0.903
"mistakes","bodydiss",0.759,0.07,0.101,0.982
"mistakes","feelfat",0.92,0.172,-0.083,0.981
"mistakes","fowg",0.084,0.158,0.203,0.983
"mistakes","urge_restrict",0.385,0.186,0.128,0.916
"desirethin","bodydiss",0.019,0.027,-0.305,0.986
"desirethin","feelfat",0.001,0,0.414,0.989
"desirethin","fowg",0.493,0.832,0.061,0.987
"desirethin","urge_restrict",0.083,0.269,-0.177,0.877
"desirethin","mistakes",0.047,0.39,-0.058,0.964
"overvalwtsh","bodydiss",0.004,0.004,0.39,0.989
"overvalwtsh","feelfat",0.47,0.246,-0.12,0.987
"overvalwtsh","fowg",0.189,0.522,-0.13,0.987
"overvalwtsh","urge_restrict",0.406,0.411,0.103,0.896
"overvalwtsh","mistakes",0.229,0.936,0.059,0.974
"overvalwtsh","desirethin",0,0,0.439,0.983
"highstand","bodydiss",0.535,0.519,0,0.927
"highstand","feelfat",0.716,0.263,-0.087,0.924
"highstand","fowg",0.797,0.412,0.066,0.929
"highstand","urge_restrict",0.014,0,0.336,0.916
"highstand","mistakes",0,0,0.442,0.952
"highstand","desirethin",0.257,0.716,-0.094,0.903
"highstand","overvalwtsh",0.73,0.017,0.15,0.926
