"temporal.from","temporal.to","temporal.lag","temporal.fixed","temporal.SE","temporal.P","temporal.ran_SD"
"bodydiss","bodydiss",1,0.136,0.052,0.009,0.237
"bodydiss","feelfat",1,0.094,0.031,0.002,0.094
"bodydiss","fowg",1,0.088,0.03,0.003,0.111
"bodydiss","urge_restrict",1,0.061,0.038,0.109,0.093
"bodydiss","mistakes",1,0.027,0.031,0.388,0.111
"bodydiss","desirethin",1,0.027,0.034,0.415,0.147
"bodydiss","overvalwtsh",1,0.068,0.027,0.013,0.045
"bodydiss","highstand",1,0.016,0.026,0.534,0.071
"feelfat","bodydiss",1,0.195,0.035,0,0.097
"feelfat","feelfat",1,0.184,0.034,0,0.119
"feelfat","fowg",1,0.073,0.026,0.005,0.064
"feelfat","urge_restrict",1,0.052,0.042,0.21,0.119
"feelfat","mistakes",1,-0.008,0.034,0.824,0.128
"feelfat","desirethin",1,0.073,0.029,0.014,0.107
"feelfat","overvalwtsh",1,0.005,0.031,0.866,0.072
"feelfat","highstand",1,-0.011,0.032,0.721,0.11
"fowg","bodydiss",1,0.051,0.035,0.153,0.058
"fowg","feelfat",1,0.094,0.036,0.009,0.103
"fowg","fowg",1,0.184,0.031,0,0.097
"fowg","urge_restrict",1,-0.028,0.056,0.622,0.216
"fowg","mistakes",1,0.062,0.036,0.085,0.13
"fowg","desirethin",1,0.038,0.037,0.302,0.144
"fowg","overvalwtsh",1,0.057,0.035,0.098,0.086
"fowg","highstand",1,0.025,0.037,0.499,0.139
"urge_restrict","bodydiss",1,0.001,0.022,0.953,0.027
"urge_restrict","feelfat",1,0.063,0.028,0.027,0.114
"urge_restrict","fowg",1,0.005,0.019,0.785,0.045
"urge_restrict","urge_restrict",1,0.226,0.045,0,0.195
"urge_restrict","mistakes",1,0.001,0.019,0.942,0.046
"urge_restrict","desirethin",1,0.028,0.019,0.144,0.048
"urge_restrict","overvalwtsh",1,-0.01,0.024,0.677,0.061
"urge_restrict","highstand",1,0.002,0.021,0.907,0.055
"mistakes","bodydiss",1,0.048,0.045,0.278,0.197
"mistakes","feelfat",1,-0.003,0.033,0.937,0.126
"mistakes","fowg",1,0.006,0.034,0.851,0.148
"mistakes","urge_restrict",1,0.076,0.045,0.094,0.171
"mistakes","mistakes",1,0.287,0.042,0,0.202
"mistakes","desirethin",1,0.064,0.036,0.073,0.166
"mistakes","overvalwtsh",1,0.055,0.033,0.095,0.11
"mistakes","highstand",1,0.099,0.04,0.013,0.187
"desirethin","bodydiss",1,0.106,0.037,0.004,0.067
"desirethin","feelfat",1,0.047,0.037,0.203,0.106
"desirethin","fowg",1,0.064,0.035,0.063,0.122
"desirethin","urge_restrict",1,0.003,0.046,0.956,0.104
"desirethin","mistakes",1,-0.046,0.034,0.182,0.103
"desirethin","desirethin",1,0.189,0.043,0,0.192
"desirethin","overvalwtsh",1,0.09,0.037,0.015,0.091
"desirethin","highstand",1,-0.056,0.031,0.07,0.057
"overvalwtsh","bodydiss",1,-0.012,0.028,0.667,0.048
"overvalwtsh","feelfat",1,0.017,0.03,0.57,0.101
"overvalwtsh","fowg",1,0.044,0.029,0.125,0.108
"overvalwtsh","urge_restrict",1,0.006,0.039,0.874,0.119
"overvalwtsh","mistakes",1,0.018,0.029,0.528,0.097
"overvalwtsh","desirethin",1,0.021,0.025,0.405,0.087
"overvalwtsh","overvalwtsh",1,0.226,0.049,0,0.241
"overvalwtsh","highstand",1,0.012,0.027,0.658,0.078
"highstand","bodydiss",1,-0.014,0.035,0.7,0.109
"highstand","feelfat",1,-0.002,0.027,0.927,0.041
"highstand","fowg",1,0.04,0.029,0.158,0.102
"highstand","urge_restrict",1,-0.036,0.043,0.405,0.136
"highstand","mistakes",1,0.088,0.036,0.014,0.14
"highstand","desirethin",1,0.003,0.022,0.88,0.022
"highstand","overvalwtsh",1,0.02,0.029,0.489,0.056
"highstand","highstand",1,0.341,0.047,0,0.218
