"graph","type","node","measure","value"
"graph 1",NA,"bodydiss","Betweenness",0
"graph 1",NA,"feelfat","Betweenness",1.87082869338697
"graph 1",NA,"fowg","Betweenness",-0.623609564462324
"graph 1",NA,"urge_restrict","Betweenness",-0.623609564462324
"graph 1",NA,"mistakes","Betweenness",-0.623609564462324
"graph 1",NA,"desirethin","Betweenness",1.24721912892465
"graph 1",NA,"overvalwtsh","Betweenness",-0.623609564462324
"graph 1",NA,"highstand","Betweenness",-0.623609564462324
"graph 1",NA,"bodydiss","Closeness",-0.408248290463863
"graph 1",NA,"feelfat","Closeness",-0.408248290463863
"graph 1",NA,"fowg","Closeness",-0.408248290463863
"graph 1",NA,"urge_restrict","Closeness",2.04124145231932
"graph 1",NA,"mistakes","Closeness",NA
"graph 1",NA,"desirethin","Closeness",-0.408248290463863
"graph 1",NA,"overvalwtsh","Closeness",-0.408248290463863
"graph 1",NA,"highstand","Closeness",NA
"graph 1",NA,"bodydiss","InStrength",-0.151008765856635
"graph 1",NA,"feelfat","InStrength",1.81162018067465
"graph 1",NA,"fowg","InStrength",0.588253719521225
"graph 1",NA,"urge_restrict","InStrength",-1.57567641824351
"graph 1",NA,"mistakes","InStrength",-0.389725120174114
"graph 1",NA,"desirethin","InStrength",-0.597645397994632
"graph 1",NA,"overvalwtsh","InStrength",0.549525141802872
"graph 1",NA,"highstand","InStrength",-0.235343339729848
"graph 1",NA,"bodydiss","OutStrength",1.69472238096702
"graph 1",NA,"feelfat","OutStrength",0.366549601045248
"graph 1",NA,"fowg","OutStrength",-0.287126772839811
"graph 1",NA,"urge_restrict","OutStrength",-0.693123779747534
"graph 1",NA,"mistakes","OutStrength",-0.223168687752851
"graph 1",NA,"desirethin","OutStrength",1.00587572729411
"graph 1",NA,"overvalwtsh","OutStrength",-1.49416439397082
"graph 1",NA,"highstand","OutStrength",-0.369564074995356
"graph 1",NA,"bodydiss","OutExpectedInfluence",1.69472238096702
"graph 1",NA,"feelfat","OutExpectedInfluence",0.366549601045248
"graph 1",NA,"fowg","OutExpectedInfluence",-0.287126772839811
"graph 1",NA,"urge_restrict","OutExpectedInfluence",-0.693123779747534
"graph 1",NA,"mistakes","OutExpectedInfluence",-0.223168687752851
"graph 1",NA,"desirethin","OutExpectedInfluence",1.00587572729411
"graph 1",NA,"overvalwtsh","OutExpectedInfluence",-1.49416439397082
"graph 1",NA,"highstand","OutExpectedInfluence",-0.369564074995356
"graph 1",NA,"bodydiss","InExpectedInfluence",-0.151008765856635
"graph 1",NA,"feelfat","InExpectedInfluence",1.81162018067465
"graph 1",NA,"fowg","InExpectedInfluence",0.588253719521225
"graph 1",NA,"urge_restrict","InExpectedInfluence",-1.57567641824351
"graph 1",NA,"mistakes","InExpectedInfluence",-0.389725120174114
"graph 1",NA,"desirethin","InExpectedInfluence",-0.597645397994632
"graph 1",NA,"overvalwtsh","InExpectedInfluence",0.549525141802872
"graph 1",NA,"highstand","InExpectedInfluence",-0.235343339729848
